,sequences,sequence_tok
189,"We ’ ve never had leptospirosis , Norris said .","['We', '’', 've', 'never', 'had', 'leptospirosis', ',', 'Norris', 'said', '.']"
190,"It ’ s an active of area of research , she said .","['It', '’', 's', 'an', 'active', 'of', 'area', 'of', 'research', ',', 'she', 'said', '.']"
191,"Based on the patient ’ s testing results , history and presentation , this patient likely represents the first documented autochthonous case of Chagas disease in Missouri .","['Based', 'on', 'the', 'patient', '’', 's', 'testing', 'results', ',', 'history', 'and', 'presentation', ',', 'this', 'patient', 'likely', 'represents', 'the', 'first', 'documented', 'autochthonous', 'case', 'of', 'Chagas', 'disease', 'in', 'Missouri', '.']"
192,""" That is why I flagged public transport is a risk if you are on a packed carriage you do not know who you stand next to and you may be next to an infectious person , "" he said .","['""', 'That', 'is', 'why', 'I', 'flagged', 'public', 'transport', 'is', 'a', 'risk', 'if', 'you', 'are', 'on', 'a', 'packed', 'carriage', 'you', 'do', 'not', 'know', 'who', 'you', 'stand', 'next', 'to', 'and', 'you', 'may', 'be', 'next', 'to', 'an', 'infectious', 'person', ',', '""', 'he', 'said', '.']"
193,The pandemic is not like the short - lived sitcom Dads .,"['The', 'pandemic', 'is', 'not', 'like', 'the', 'short', '-', 'lived', 'sitcom', 'Dads', '.']"
194,"No , there is currently no vaccine for the Marburg virus , nor are there drugs to treat the infection .","['No', ',', 'there', 'is', 'currently', 'no', 'vaccine', 'for', 'the', 'Marburg', 'virus', ',', 'nor', 'are', 'there', 'drugs', 'to', 'treat', 'the', 'infection', '.']"
195,He is expected to front a press conference later today .,"['He', 'is', 'expected', 'to', 'front', 'a', 'press', 'conference', 'later', 'today', '.']"
196,"Monaghan , Donegal , Cavan and Leitrim have the highest 14-day incidence rates in the country .","['Monaghan', ',', 'Donegal', ',', 'Cavan', 'and', 'Leitrim', 'have', 'the', 'highest', '14-day', 'incidence', 'rates', 'in', 'the', 'country', '.']"
197,""" We know that there have been cases detected in provinces and territories , and there may be some early signs that we already have some community transmission , "" said Dr . Theresa Tam , Canada's chief public health officer , in a May 14 briefing .","['""', 'We', 'know', 'that', 'there', 'have', 'been', 'cases', 'detected', 'in', 'provinces', 'and', 'territories', ',', 'and', 'there', 'may', 'be', 'some', 'early', 'signs', 'that', 'we', 'already', 'have', 'some', 'community', 'transmission', ',', '""', 'said', 'Dr', '.', 'Theresa', 'Tam', ',', ""Canada's"", 'chief', 'public', 'health', 'officer', ',', 'in', 'a', 'May', '14', 'briefing', '.']"
198,( ANI ) .,"['(', 'ANI', ')', '.']"
199,The meeting was a follow - up to guidelines drafted by regulators for food delivery platforms to guarantee their workers income above minimum pay levels .,"['The', 'meeting', 'was', 'a', 'follow', '-', 'up', 'to', 'guidelines', 'drafted', 'by', 'regulators', 'for', 'food', 'delivery', 'platforms', 'to', 'guarantee', 'their', 'workers', 'income', 'above', 'minimum', 'pay', 'levels', '.']"
200,"Southeast , 14 . Location pending , 18 . Saskatchewan reported 3,958 new tests today , bringing the total to 1,038,129 .","['Southeast', ',', '14', '.', 'Location', 'pending', ',', '18', '.', 'Saskatchewan', 'reported', '3,958', 'new', 'tests', 'today', ',', 'bringing', 'the', 'total', 'to', '1,038,129', '.']"
201,"Most agencies also assess with low confidence that SARS - CoV-2 [ Covid ] probably was not genetically engineered , "" says the report , "" however , two agencies believe there was not sufficient evidence to make an assessment either way .","['Most', 'agencies', 'also', 'assess', 'with', 'low', 'confidence', 'that', 'SARS', '-', 'CoV-2', '[', 'Covid', ']', 'probably', 'was', 'not', 'genetically', 'engineered', ',', '""', 'says', 'the', 'report', ',', '""', 'however', ',', 'two', 'agencies', 'believe', 'there', 'was', 'not', 'sufficient', 'evidence', 'to', 'make', 'an', 'assessment', 'either', 'way', '.']"
202,""" We are seeing the problems in the smaller shops , smaller food shops and smaller distribution areas , "" he said .","['""', 'We', 'are', 'seeing', 'the', 'problems', 'in', 'the', 'smaller', 'shops', ',', 'smaller', 'food', 'shops', 'and', 'smaller', 'distribution', 'areas', ',', '""', 'he', 'said', '.']"
203,Dengue cases increase every alternate year .,"['Dengue', 'cases', 'increase', 'every', 'alternate', 'year', '.']"
204,Some of the deaths were even quicker than that .,"['Some', 'of', 'the', 'deaths', 'were', 'even', 'quicker', 'than', 'that', '.']"
205,""" "" We're evaluating all these options .","['""', '""', ""We're"", 'evaluating', 'all', 'these', 'options', '.']"
206,"However , he said , alarming outbreaks in some communities are painful reminders to maintain public health measures .","['However', ',', 'he', 'said', ',', 'alarming', 'outbreaks', 'in', 'some', 'communities', 'are', 'painful', 'reminders', 'to', 'maintain', 'public', 'health', 'measures', '.']"
207,"TimesView A dedicated helpline to resolve contaminated water supply complaints is a welcome step , but authorities will have to ensure that redressal is prompt .","['TimesView', 'A', 'dedicated', 'helpline', 'to', 'resolve', 'contaminated', 'water', 'supply', 'complaints', 'is', 'a', 'welcome', 'step', ',', 'but', 'authorities', 'will', 'have', 'to', 'ensure', 'that', 'redressal', 'is', 'prompt', '.']"
208,"Source : Official website on the status of COVID-19 in Papua New Guinea , accessed July 13 , 2021 . Republic of the Marshall Islands : As of 13 July 2021 , 4 imported cases had been reported by the Ministry of San .","['Source', ':', 'Official', 'website', 'on', 'the', 'status', 'of', 'COVID-19', 'in', 'Papua', 'New', 'Guinea', ',', 'accessed', 'July', '13', ',', '2021', '.', 'Republic', 'of', 'the', 'Marshall', 'Islands', ':', 'As', 'of', '13', 'July', '2021', ',', '4', 'imported', 'cases', 'had', 'been', 'reported', 'by', 'the', 'Ministry', 'of', 'San', '.']"
209,"Hospitalizations increased by 28 to 309 . Of those hospitalized , 226 remain in acute care and 83 remain in the ICU .","['Hospitalizations', 'increased', 'by', '28', 'to', '309', '.', 'Of', 'those', 'hospitalized', ',', '226', 'remain', 'in', 'acute', 'care', 'and', '83', 'remain', 'in', 'the', 'ICU', '.']"
210,Herpes fast facts .,"['Herpes', 'fast', 'facts', '.']"
211,"It was 12 % for the week of July 11 , 13 % for the week of July 18 and 14 % for the week of July 25 . It was 14 % for the week of Aug .","['It', 'was', '12', '%', 'for', 'the', 'week', 'of', 'July', '11', ',', '13', '%', 'for', 'the', 'week', 'of', 'July', '18', 'and', '14', '%', 'for', 'the', 'week', 'of', 'July', '25', '.', 'It', 'was', '14', '%', 'for', 'the', 'week', 'of', 'Aug', '.']"
212,"Noreen Spillane , Chief Operations Officer , UL Hospitals Group , said : We are pleased to again be in a position , effective from August 19th , to relax these difficult visiting restrictions at UHL .","['Noreen', 'Spillane', ',', 'Chief', 'Operations', 'Officer', ',', 'UL', 'Hospitals', 'Group', ',', 'said', ':', 'We', 'are', 'pleased', 'to', 'again', 'be', 'in', 'a', 'position', ',', 'effective', 'from', 'August', '19th', ',', 'to', 'relax', 'these', 'difficult', 'visiting', 'restrictions', 'at', 'UHL', '.']"
213,"The rate of rise may have slowed , but ICU demand continues to increase .","['The', 'rate', 'of', 'rise', 'may', 'have', 'slowed', ',', 'but', 'ICU', 'demand', 'continues', 'to', 'increase', '.']"
214,"Togo ’ s experience with the disease , thus , must be taken into account by the DRC and other endemic countries as well .","['Togo', '’', 's', 'experience', 'with', 'the', 'disease', ',', 'thus', ',', 'must', 'be', 'taken', 'into', 'account', 'by', 'the', 'DRC', 'and', 'other', 'endemic', 'countries', 'as', 'well', '.']"
215,Spread of the virus is likely to be triggered by a sudden and persistent fall in temperatures in central Russia and Kazakhstan .,"['Spread', 'of', 'the', 'virus', 'is', 'likely', 'to', 'be', 'triggered', 'by', 'a', 'sudden', 'and', 'persistent', 'fall', 'in', 'temperatures', 'in', 'central', 'Russia', 'and', 'Kazakhstan', '.']"
216,"Updated at 5.49pm BST Paraguayan media have reported that a Reuters write - up of a Russian Investment Fund report , which we carried earlier ( since updated ) , was inaccurate .","['Updated', 'at', '5.49pm', 'BST', 'Paraguayan', 'media', 'have', 'reported', 'that', 'a', 'Reuters', 'write', '-', 'up', 'of', 'a', 'Russian', 'Investment', 'Fund', 'report', ',', 'which', 'we', 'carried', 'earlier', '(', 'since', 'updated', ')', ',', 'was', 'inaccurate', '.']"
217,"Remember many lives are on the line and the demonstration could affect their lives and even you career , he wrote on Facebook .","['Remember', 'many', 'lives', 'are', 'on', 'the', 'line', 'and', 'the', 'demonstration', 'could', 'affect', 'their', 'lives', 'and', 'even', 'you', 'career', ',', 'he', 'wrote', 'on', 'Facebook', '.']"
218,' Upsetting decision for some ' Frank characterized the masking issue as divisive .,"[""'"", 'Upsetting', 'decision', 'for', 'some', ""'"", 'Frank', 'characterized', 'the', 'masking', 'issue', 'as', 'divisive', '.']"
219,"The highly infectious strain has been responsible for nearly 70 % of the country's total of almost 100,000 cases .","['The', 'highly', 'infectious', 'strain', 'has', 'been', 'responsible', 'for', 'nearly', '70', '%', 'of', 'the', ""country's"", 'total', 'of', 'almost', '100,000', 'cases', '.']"
220,"Among the new cases , one is above the age of 70 and is partially vaccinated and at risk of serious illness , said MOH .","['Among', 'the', 'new', 'cases', ',', 'one', 'is', 'above', 'the', 'age', 'of', '70', 'and', 'is', 'partially', 'vaccinated', 'and', 'at', 'risk', 'of', 'serious', 'illness', ',', 'said', 'MOH', '.']"
221,"The people were between the ages of 23 and 63 , and became sick in late March to mid - June of this year .","['The', 'people', 'were', 'between', 'the', 'ages', 'of', '23', 'and', '63', ',', 'and', 'became', 'sick', 'in', 'late', 'March', 'to', 'mid', '-', 'June', 'of', 'this', 'year', '.']"
222,"‘ Waning immunity ’ is a known problem for influenza vaccines , with some studies showing near zero effectiveness after just three months , meaning a vaccine taken early may ultimately provide no protection by the time ‘ flu season ’ arrives some months later .","['‘', 'Waning', 'immunity', '’', 'is', 'a', 'known', 'problem', 'for', 'influenza', 'vaccines', ',', 'with', 'some', 'studies', 'showing', 'near', 'zero', 'effectiveness', 'after', 'just', 'three', 'months', ',', 'meaning', 'a', 'vaccine', 'taken', 'early', 'may', 'ultimately', 'provide', 'no', 'protection', 'by', 'the', 'time', '‘', 'flu', 'season', '’', 'arrives', 'some', 'months', 'later', '.']"
223,"Duval County ’ s cases went up 6,430 in a week the second - highest increase since the pandemic began .","['Duval', 'County', '’', 's', 'cases', 'went', 'up', '6,430', 'in', 'a', 'week', 'the', 'second', '-', 'highest', 'increase', 'since', 'the', 'pandemic', 'began', '.']"
224,""" He confirmed some positive cases in the current outbreak had come as a result of house - to - house transmission .","['""', 'He', 'confirmed', 'some', 'positive', 'cases', 'in', 'the', 'current', 'outbreak', 'had', 'come', 'as', 'a', 'result', 'of', 'house', '-', 'to', '-', 'house', 'transmission', '.']"
225,16 between 8 : 30 a . m . and noon – CCNB - Campbellton Campus ( 47 Village Ave .,"['16', 'between', '8', ':', '30', 'a', '.', 'm', '.', 'and', 'noon', '–', 'CCNB', '-', 'Campbellton', 'Campus', '(', '47', 'Village', 'Ave', '.']"
226,""" This government is devolving the responsibility to make important public health decisions onto school boards , onto businesses , onto individuals and , indeed , causing them to have to deal with the tension , the blowback , [ and ] the issues that come with having to enforce this , "" said Shepherd .","['""', 'This', 'government', 'is', 'devolving', 'the', 'responsibility', 'to', 'make', 'important', 'public', 'health', 'decisions', 'onto', 'school', 'boards', ',', 'onto', 'businesses', ',', 'onto', 'individuals', 'and', ',', 'indeed', ',', 'causing', 'them', 'to', 'have', 'to', 'deal', 'with', 'the', 'tension', ',', 'the', 'blowback', ',', '[', 'and', ']', 'the', 'issues', 'that', 'come', 'with', 'having', 'to', 'enforce', 'this', ',', '""', 'said', 'Shepherd', '.']"
227,None of the students were hospitalized .,"['None', 'of', 'the', 'students', 'were', 'hospitalized', '.']"
228,The health unit confirmed its first Delta variant case on June 19 and its first confirmed variant case on Feb .,"['The', 'health', 'unit', 'confirmed', 'its', 'first', 'Delta', 'variant', 'case', 'on', 'June', '19', 'and', 'its', 'first', 'confirmed', 'variant', 'case', 'on', 'Feb', '.']"
229,"During a two - week span this month , 119 people were tested for the virus and 50 tested positive , according to Iraan General Hospital CEO Jason Rybolt .","['During', 'a', 'two', '-', 'week', 'span', 'this', 'month', ',', '119', 'people', 'were', 'tested', 'for', 'the', 'virus', 'and', '50', 'tested', 'positive', ',', 'according', 'to', 'Iraan', 'General', 'Hospital', 'CEO', 'Jason', 'Rybolt', '.']"
230,""" Because we've got this requirement for day one , five and 13 testing , we're obviously going to have this peak and then it'll go down and then we'll have a peak on day five .","['""', 'Because', ""we've"", 'got', 'this', 'requirement', 'for', 'day', 'one', ',', 'five', 'and', '13', 'testing', ',', ""we're"", 'obviously', 'going', 'to', 'have', 'this', 'peak', 'and', 'then', ""it'll"", 'go', 'down', 'and', 'then', ""we'll"", 'have', 'a', 'peak', 'on', 'day', 'five', '.']"
231,"And vaccinated adults who have breakthrough cases but show no symptoms could be missing from the data altogether , say officials .","['And', 'vaccinated', 'adults', 'who', 'have', 'breakthrough', 'cases', 'but', 'show', 'no', 'symptoms', 'could', 'be', 'missing', 'from', 'the', 'data', 'altogether', ',', 'say', 'officials', '.']"
232,31 between 4 p . m . and 7 p . m .,"['31', 'between', '4', 'p', '.', 'm', '.', 'and', '7', 'p', '.', 'm', '.']"
233,""" I would describe it as being worse than prison .","['""', 'I', 'would', 'describe', 'it', 'as', 'being', 'worse', 'than', 'prison', '.']"
234,"School A had 28 infections of pupils , B had 32 of teachers , and school C had 46 of pupils .","['School', 'A', 'had', '28', 'infections', 'of', 'pupils', ',', 'B', 'had', '32', 'of', 'teachers', ',', 'and', 'school', 'C', 'had', '46', 'of', 'pupils', '.']"
235,"In 2020 , California saw one of its worst - ever wildfire seasons .","['In', '2020', ',', 'California', 'saw', 'one', 'of', 'its', 'worst', '-', 'ever', 'wildfire', 'seasons', '.']"
236,In the cities of Beijing and Wuhan nurseries and primary schools can reopen from 1 September .,"['In', 'the', 'cities', 'of', 'Beijing', 'and', 'Wuhan', 'nurseries', 'and', 'primary', 'schools', 'can', 'reopen', 'from', '1', 'September', '.']"
